order,focus_area,focus_query,status,notes
1,Auburn State Recreation Area,backpacking trails near Auburn State Recreation Area California,done,finalized batch_002
2,Cronan Ranch and South Fork American River,backpacking trails near South Fork American River Trail California,done,stale-complete batch_003
3,Desolation Wilderness,backpacking trails in Desolation Wilderness California,done,stale-complete batch_003
4,Granite Chief Wilderness,backpacking trails in Granite Chief Wilderness California,done,finalized batch_003
5,Lake Tahoe Basin (CA side),backpacking trails in Lake Tahoe Basin California,done,finalized batch_004
6,Emigrant Wilderness,backpacking trails in Emigrant Wilderness California,in_progress,
7,Mokelumne Wilderness,backpacking trails in Mokelumne Wilderness California,pending,
8,Carson-Iceberg Wilderness,backpacking trails in Carson-Iceberg Wilderness California,pending,
9,Hoover Wilderness,backpacking trails in Hoover Wilderness California,pending,
10,Yosemite National Park,backpacking trails in Yosemite National Park California,pending,
11,Lassen Volcanic National Park,backpacking trails in Lassen Volcanic National Park California,pending,
12,Mount Shasta and Shasta-Trinity,backpacking trails near Mount Shasta and Shasta-Trinity National Forest,pending,
13,Trinity Alps Wilderness,backpacking trails in Trinity Alps Wilderness California,pending,
14,Marble Mountains Wilderness,backpacking trails in Marble Mountains Wilderness California,pending,
15,Russian Wilderness,backpacking trails in Russian Wilderness California,pending,
16,Siskiyou Wilderness,backpacking trails in Siskiyou Wilderness California,pending,
17,Castle Crags State Park,backpacking trails near Castle Crags State Park California,pending,
18,Redwood National and State Parks,backpacking trails in Redwood National and State Parks,pending,
19,Mendocino National Forest,backpacking trails in Mendocino National Forest California,pending,
20,Yolla Bolly-Middle Eel Wilderness,backpacking trails in Yolla Bolly-Middle Eel Wilderness California,pending,
21,Point Reyes National Seashore,backpacking trails in Point Reyes National Seashore California,pending,
22,Marin Headlands and Mt Tamalpais,backpacking trails near Mount Tamalpais and Marin Headlands California,pending,
23,Sonoma Coast and Salt Point,backpacking trails along Sonoma Coast and Salt Point California,pending,
24,Ventana Wilderness (Big Sur),backpacking trails in Ventana Wilderness Big Sur California,pending,
25,Henry W. Coe State Park,backpacking trails in Henry W. Coe State Park California,pending,
26,Pinnacles National Park,backpacking trails in Pinnacles National Park California,pending,
